ParcelID,DisplayLabel,Hemisphere,Network,SchaeferName,X,Y,Z,AnatomicalRegion,AnatomicalOverlapPercent,Voxels
31,L visual 31,L,VIS,7Networks_LH_Vis_31,-21,-79,45,Occipital Sup L,53.9,2043
32,L somatomotor 1,L,SMN,7Networks_LH_SomMot_1,-50,10,1,Temporal Sup L,86.6,3125
33,L somatomotor 2,L,SMN,7Networks_LH_SomMot_2,-56,-21,8,Temporal Sup L,91.2,3982
34,L somatomotor 3,L,SMN,7Networks_LH_SomMot_3,-36,-24,10,Heschl L,66.9,1214
35,L somatomotor 4,L,SMN,7Networks_LH_SomMot_4,-38,-9,13,Insula L,71.8,1985
36,L somatomotor 5,L,SMN,7Networks_LH_SomMot_5,-36,-26,19,Rolandic Oper L,61.9,1435
37,L somatomotor 6,L,SMN,7Networks_LH_SomMot_6,-59,-37,16,Temporal Sup L,94.2,2358
38,L somatomotor 7,L,SMN,7Networks_LH_SomMot_7,-41,-35,14,Temporal Sup L,83.1,1621
39,L somatomotor 8,L,SMN,7Networks_LH_SomMot_8,-49,-13,14,Rolandic Oper L,49.9,1906
40,L somatomotor 9,L,SMN,7Networks_LH_SomMot_9,-60,-2,11,Rolandic Oper L,56.5,1804
41,L somatomotor 10,L,SMN,7Networks_LH_SomMot_10,-48,-24,18,Rolandic Oper L,49.8,1631
42,L somatomotor 11,L,SMN,7Networks_LH_SomMot_11,-61,-18,19,Postcentral L,65.9,1600
43,L somatomotor 12,L,SMN,7Networks_LH_SomMot_12,-59,-2,24,Postcentral L,57.6,2246
44,L somatomotor 13,L,SMN,7Networks_LH_SomMot_13,-62,-10,31,Postcentral L,100.0,1640
45,L somatomotor 14,L,SMN,7Networks_LH_SomMot_14,-53,-9,30,Postcentral L,83.2,1458
46,L somatomotor 15,L,SMN,7Networks_LH_SomMot_15,-55,-20,41,Postcentral L,41.4,1498
47,L somatomotor 16,L,SMN,7Networks_LH_SomMot_16,-51,-7,43,Postcentral L,73.9,2388
48,L somatomotor 17,L,SMN,7Networks_LH_SomMot_17,-48,-16,40,Postcentral L,98.8,1389
49,L somatomotor 18,L,SMN,7Networks_LH_SomMot_18,-8,-15,47,Cingulum Mid L,74.8,2531
50,L somatomotor 19,L,SMN,7Networks_LH_SomMot_19,-41,-15,48,Postcentral L,74.2,1527
51,L somatomotor 20,L,SMN,7Networks_LH_SomMot_20,-49,-17,54,Postcentral L,92.6,1646
52,L somatomotor 21,L,SMN,7Networks_LH_SomMot_21,-48,-29,58,Postcentral L,89.9,2774
53,L somatomotor 22,L,SMN,7Networks_LH_SomMot_22,-39,-25,53,Postcentral L,97.8,983
54,L somatomotor 23,L,SMN,7Networks_LH_SomMot_23,-9,-38,54,Cingulum Mid L,63.6,1095
55,L somatomotor 24,L,SMN,7Networks_LH_SomMot_24,-4,-25,56,Paracentral Lobule L,74.1,1694
56,L somatomotor 25,L,SMN,7Networks_LH_SomMot_25,-4,-9,59,Supp Motor Area L,96.8,2019
57,L somatomotor 26,L,SMN,7Networks_LH_SomMot_26,-35,-18,64,Precentral L,95.1,3730
58,L somatomotor 27,L,SMN,7Networks_LH_SomMot_27,-30,-46,63,Parietal Sup L,73.5,2757
59,L somatomotor 28,L,SMN,7Networks_LH_SomMot_28,-32,-29,62,Postcentral L,74.9,2131
60,L somatomotor 29,L,SMN,7Networks_LH_SomMot_29,-30,-38,65,Postcentral L,90.5,2245
61,L somatomotor 30,L,SMN,7Networks_LH_SomMot_30,-24,-11,65,Precentral L,69.9,2919
62,L somatomotor 31,L,SMN,7Networks_LH_SomMot_31,-19,-24,67,Precentral L,57.6,1098
63,L somatomotor 32,L,SMN,7Networks_LH_SomMot_32,-9,-42,70,Precuneus L,80.1,2162
64,L somatomotor 33,L,SMN,7Networks_LH_SomMot_33,-4,-26,69,Paracentral Lobule L,85.5,2717
65,L somatomotor 34,L,SMN,7Networks_LH_SomMot_34,-14,-11,72,Supp Motor Area L,32.2,1836
66,L somatomotor 35,L,SMN,7Networks_LH_SomMot_35,-18,-31,69,Postcentral L,58.7,2186
67,L somatomotor 36,L,SMN,7Networks_LH_SomMot_36,-19,-40,72,Postcentral L,54.9,2064
68,L somatomotor 37,L,SMN,7Networks_LH_SomMot_37,-12,-27,73,Paracentral Lobule L,99.6,900
69,"L dorsal attention, Post 1",L,DAN,7Networks_LH_DorsAttn_Post_1,-45,-42,-21,Temporal Inf L,59.3,2928
70,"L dorsal attention, Post 2",L,DAN,7Networks_LH_DorsAttn_Post_2,-49,-56,-15,Temporal Inf L,59.6,4725
71,"L dorsal attention, Post 3",L,DAN,7Networks_LH_DorsAttn_Post_3,-55,-62,-1,Temporal Mid L,64.0,4434
72,"L dorsal attention, Post 4",L,DAN,7Networks_LH_DorsAttn_Post_4,-48,-65,15,Temporal Mid L,81.8,2816
73,"L dorsal attention, Post 5",L,DAN,7Networks_LH_DorsAttn_Post_5,-26,-70,31,Occipital Mid L,60.4,1339
74,"L dorsal attention, Post 6",L,DAN,7Networks_LH_DorsAttn_Post_6,-55,-31,45,Parietal Inf L,80.6,2465
75,"L dorsal attention, Post 7",L,DAN,7Networks_LH_DorsAttn_Post_7,-23,-66,46,Parietal Sup L,77.6,2058
76,"L dorsal attention, Post 8",L,DAN,7Networks_LH_DorsAttn_Post_8,-46,-29,44,Parietal Inf L,71.0,1627
77,"L dorsal attention, Post 9",L,DAN,7Networks_LH_DorsAttn_Post_9,-33,-46,41,Parietal Inf L,89.3,2012
78,"L dorsal attention, Post 10",L,DAN,7Networks_LH_DorsAttn_Post_10,-29,-58,50,Parietal Sup L,67.2,1261
79,"L dorsal attention, Post 11",L,DAN,7Networks_LH_DorsAttn_Post_11,-39,-37,49,Parietal Inf L,53.7,2319
80,"L dorsal attention, Post 12",L,DAN,7Networks_LH_DorsAttn_Post_12,-36,-52,56,Parietal Inf L,73.1,1637
81,"L dorsal attention, Post 13",L,DAN,7Networks_LH_DorsAttn_Post_13,-15,-71,57,Precuneus L,52.6,3135
82,"L dorsal attention, Post 14",L,DAN,7Networks_LH_DorsAttn_Post_14,-28,-61,62,Parietal Sup L,99.8,1671
83,"L dorsal attention, Post 15",L,DAN,7Networks_LH_DorsAttn_Post_15,-8,-59,63,Precuneus L,97.4,2224
84,"L dorsal attention, Post 16",L,DAN,7Networks_LH_DorsAttn_Post_16,-20,-57,66,Parietal Sup L,76.9,2775
85,"L dorsal attention, Post 17",L,DAN,7Networks_LH_DorsAttn_Post_17,-13,-50,72,Precuneus L,83.8,907
86,"L dorsal attention, FEF 1",L,DAN,7Networks_LH_DorsAttn_FEF_1,-40,-3,51,Precentral L,92.7,2506
87,"L dorsal attention, FEF 2",L,DAN,7Networks_LH_DorsAttn_FEF_2,-26,-1,55,Frontal Mid L,47.2,2945
88,"L dorsal attention, FEF 3",L,DAN,7Networks_LH_DorsAttn_FEF_3,-30,-8,52,Precentral L,88.3,1466
89,"L dorsal attention, FEF 4",L,DAN,7Networks_LH_DorsAttn_FEF_4,-21,5,64,Frontal Sup L,78.9,3629
90,"L dorsal attention, PrCv 1",L,DAN,7Networks_LH_DorsAttn_PrCv_1,-49,6,26,Precentral L,62.7,2462
91,"L dorsal attention, PrCv 2",L,DAN,7Networks_LH_DorsAttn_PrCv_2,-50,3,38,Precentral L,97.7,2163
92,"L salience/ventral attention, ParOper 1",L,SAL,7Networks_LH_SalVentAttn_ParOper_1,-55,-32,22,Temporal Sup L,54.3,3259
93,"L salience/ventral attention, ParOper 2",L,SAL,7Networks_LH_SalVentAttn_ParOper_2,-58,-44,27,SupraMarginal L,68.0,2243
94,"L salience/ventral attention, ParOper 3",L,SAL,7Networks_LH_SalVentAttn_ParOper_3,-61,-23,33,SupraMarginal L,69.1,3228
95,"L salience/ventral attention, ParOper 4",L,SAL,7Networks_LH_SalVentAttn_ParOper_4,-61,-36,33,SupraMarginal L,81.2,2395
96,"L salience/ventral attention, TempOcc 1",L,SAL,7Networks_LH_SalVentAttn_TempOcc_1,-56,-54,10,Temporal Mid L,99.9,2904
97,"L salience/ventral attention, FrOperIns 1",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_1,-44,5,-16,Temporal Pole Sup L,65.7,2167
98,"L salience/ventral attention, FrOperIns 2",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_2,-39,2,-5,Insula L,87.9,3768
99,"L salience/ventral attention, FrOperIns 3",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_3,-33,24,-1,Insula L,70.2,1619
100,"L salience/ventral attention, FrOperIns 4",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_4,-40,-14,-2,Insula L,55.3,1866
101,"L salience/ventral attention, FrOperIns 5",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_5,-33,19,8,Insula L,86.8,1993
102,"L salience/ventral attention, FrOperIns 6",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_6,-36,5,11,Insula L,90.1,1122
103,"L salience/ventral attention, FrOperIns 7",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_7,-43,12,2,Insula L,77.1,1289
104,"L salience/ventral attention, FrOperIns 8",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_8,-50,1,5,Rolandic Oper L,57.0,2155
105,"L salience/ventral attention, FrOperIns 9",L,SAL,7Networks_LH_SalVentAttn_FrOperIns_9,-52,9,13,Frontal Inf Oper L,65.1,2617
